y,x1
321.925,78
-176.029,-39
495.929,-100
136.216,33
-5.630,5
284.597,-79
0.596,-22
6.554,7
-180.448,43
-5.630,5
-200.037,-45
-307.029,62
0.385,3
181.485,-54
408.139,-67
-524.590,-84
-49.343,31
399.283,70
11.119,-25
220.402,46
-72.147,29
6.174,9
91.821,27
61.551,-23
-64.664,35
373.660,65
-6.174,-9
-656.870,92
-27.707,-28
-128.689,85
3.999,44
-136.216,-33
682.804,89
-894.947,-96
-113.952,30
-202.458,48
12.928,-12
-200.037,-45
190.746,-42
-814.847,93
-190.746,42
678.103,83
-27.537,-88
611.714,77
366.183,58
3.999,44
71.184,32
-71.527,-63
11.119,-25
-202.458,48
